data,price
2012-05-02,338.35 
2012-05-03,336.50 
2012-05-04,336.50 
2012-05-07,336.50 
2012-05-08,336.50 
2012-05-09,336.50 
2012-05-10,336.50 
2012-05-11,336.50 
2012-05-14,330.00 
2012-05-15,330.00 
2012-05-16,313.13 
2012-05-17,317.03 
2012-05-18,322.50 
2012-05-21,326.69 
2012-05-22,324.70 
2012-05-23,319.26 
2012-05-24,320.73 
2012-05-25,320.53 
2012-05-28,324.44 
2012-05-29,323.21 
2012-05-30,318.30 
2012-05-31,311.00 
2012-06-01,319.20 
2012-06-04,332.92 
2012-06-05,332.21 
2012-06-06,332.05 
2012-06-07,331.00 
2012-06-08,323.10 
2012-06-11,323.67 
2012-06-12,325.00 
2012-06-13,328.70 
2012-06-14,328.70 
2012-06-15,328.70 
2012-06-18,331.51 
2012-06-19,333.00 
2012-06-20,331.20 
2012-06-21,331.20 
2012-06-25,326.00 
2012-06-26,324.97 
2012-06-27,324.43 
2012-06-28,324.43 
2012-06-29,328.00 
2012-07-02,328.00 
2012-07-03,328.00 
2012-07-04,328.00 
2012-07-05,328.00 
2012-07-06,330.00 
2012-07-09,330.00 
2012-07-10,330.00 
2012-07-11,330.00 
2012-07-12,330.00 
2012-07-13,330.00 
2012-07-16,330.00 
2012-07-17,326.80 
2012-07-18,326.80 
2012-07-19,326.80 
2012-07-20,326.80 
2012-07-23,324.20 
2012-07-24,324.20 
2012-07-25,324.49 
2012-07-26,327.79 
2012-07-27,330.19 
2012-07-30,331.70 
2012-07-31,331.30 
2012-08-01,329.50 
2012-08-02,329.50 
2012-08-03,325.50 
2012-08-06,326.00 
2012-08-07,326.00 
2012-08-08,326.00 
2012-08-09,326.00 
2012-08-10,326.00 
2012-08-13,326.00 
2012-08-14,326.00 
2012-08-15,326.00 
2012-08-16,327.09 
2012-08-17,330.26 
2012-08-20,330.26 
2012-08-21,331.46 
2012-08-22,334.35 
2012-08-23,340.50 
2012-08-24,338.72 
2012-08-27,340.20 
2012-08-28,337.11 
2012-08-29,339.00 
2012-08-30,338.70 
2012-08-31,337.10 
2012-09-03,343.00 
2012-09-04,343.00 
2012-09-05,343.00 
2012-09-06,343.00 
2012-09-07,343.00 
2012-09-10,342.59 
2012-09-11,350.00 
2012-09-12,350.00 
2012-09-13,350.00 
2012-09-14,350.00 
2012-09-17,350.00 
2012-09-18,357.58 
2012-09-19,358.58 
2012-09-20,360.72 
2012-09-21,360.29 
2012-09-24,355.21 
2012-09-25,356.07 
2012-09-26,357.00 
2012-09-27,355.84 
2012-09-28,353.00 
2012-10-08,356.08 
2012-10-09,355.69 
2012-10-10,355.69 
2012-10-11,355.69 
2012-10-12,355.69 
2012-10-15,355.69 
2012-10-16,358.45 
2012-10-17,358.45 
2012-10-18,354.48 
2012-10-19,350.50 
2012-10-22,349.47 
2012-10-23,348.00 
2012-10-24,348.00 
2012-10-25,340.88 
2012-10-26,342.70 
2012-10-29,347.50 
2012-10-30,344.10 
2012-10-31,344.90 
2012-11-01,344.90 
2012-11-02,344.90 
2012-11-05,337.50 
2012-11-06,337.25 
2012-11-07,337.25 
2012-11-08,337.25 
2012-11-09,337.25 
2012-11-12,337.25 
2012-11-13,337.25 
2012-11-14,337.25 
2012-11-15,337.25 
2012-11-16,345.10 
2012-11-19,347.35 
2012-11-20,348.68 
2012-11-21,346.80 
2012-11-22,347.42 
2012-11-23,347.05 
2012-11-26,349.20 
2012-11-27,349.10 
2012-11-28,346.94 
2012-11-29,342.17 
2012-11-30,349.10 
2012-12-03,342.90 
2012-12-04,339.81 
2012-12-05,339.00 
2012-12-06,337.81 
2012-12-07,340.20 
2012-12-10,340.23 
2012-12-11,341.95 
2012-12-12,341.10 
2012-12-13,340.00 
2012-12-14,340.39 
2012-12-17,340.42 
2012-12-18,342.89 
2012-12-19,337.67 
2012-12-20,335.66 
2012-12-21,330.69 
2012-12-24,333.69 
2012-12-25,333.16 
2012-12-26,333.01 
2012-12-27,333.00 
2012-12-28,333.38 
2012-12-31,334.08 
2013-01-04,330.35 
2013-01-07,333.60 
2013-01-08,330.50 
2013-01-09,333.30 
2013-01-10,331.96 
2013-01-11,334.11 
2013-01-14,332.11 
2013-01-15,334.60 
2013-01-16,337.77 
2013-01-17,337.52 
2013-01-18,338.00 
2013-01-21,338.71 
2013-01-22,338.80 
2013-01-23,339.54 
2013-01-24,336.11 
2013-01-25,335.02 
2013-01-28,334.24 
2013-01-29,334.22 
2013-01-30,335.26 
2013-01-31,336.50 
2013-02-01,335.92 
2013-02-04,336.50 
2013-02-05,336.50 
2013-02-06,336.50 
2013-02-07,336.50 
2013-02-08,336.50 
2013-02-18,336.50 
2013-02-19,325.51 
2013-02-20,325.67 
2013-02-21,317.59 
2013-02-22,318.71 
2013-02-25,321.62 
2013-02-26,322.18 
2013-02-27,325.30 
2013-02-28,320.50 
2013-03-01,321.98 
2013-03-04,317.80 
2013-03-05,318.15 
2013-03-06,318.60 
2013-03-07,318.64 
2013-03-08,317.02 
2013-03-11,318.01 
2013-03-12,323.99 
2013-03-13,319.45 
2013-03-14,319.45 
2013-03-15,318.00 
2013-03-18,321.18 
2013-03-19,321.77 
2013-03-20,323.73 
2013-03-21,322.53 
2013-03-22,323.48 
2013-03-25,323.48 
2013-03-26,321.00 
2013-03-27,320.10 
2013-03-28,320.50 
2013-03-29,318.50 
2013-04-01,319.50 
2013-04-02,319.50 
2013-04-03,319.50 
2013-04-08,315.00 
2013-04-09,315.00 
2013-04-10,315.00 
2013-04-11,315.00 
2013-04-12,315.00 
2013-04-15,315.00 
2013-04-16,296.97 
2013-04-17,282.12 
2013-04-18,275.50 
2013-04-19,282.19 
2013-04-22,283.32 
2013-04-23,282.31 
2013-04-24,284.91 
2013-04-25,290.60 
2013-04-26,292.84 
2013-05-02,286.66 
2013-05-03,291.61 
2013-05-06,293.03 
2013-05-07,293.03 
2013-05-08,293.03 
2013-05-09,293.03 
2013-05-10,293.03 
2013-05-13,293.03 
2013-05-14,284.88 
2013-05-15,284.88 
2013-05-16,279.73 
2013-05-17,277.92 
2013-05-20,273.02 
2013-05-21,281.88 
2013-05-22,281.20 
2013-05-23,279.11 
2013-05-24,279.59 
2013-05-27,279.92 
2013-05-28,279.31 
2013-05-29,277.90 
2013-05-30,281.92 
2013-05-31,283.77 
2013-06-03,279.51 
2013-06-04,280.79 
2013-06-05,279.90 
2013-06-06,277.75 
2013-06-07,279.30 
2013-06-13,280.33 
2013-06-14,275.10 
2013-06-17,276.31 
2013-06-18,275.84 
2013-06-19,274.32 
2013-06-20,270.24 
2013-06-21,259.77 
2013-06-24,257.50 
2013-06-25,259.05 
2013-06-26,252.90 
2013-06-27,252.05 
2013-06-28,242.45 
2013-07-01,252.00 
2013-07-02,251.10 
2013-07-03,251.10 
2013-07-04,251.10 
2013-07-05,251.10 
2013-07-08,251.10 
2013-07-09,253.05 
2013-07-10,252.50 
2013-07-11,252.50 
2013-07-12,252.50 
2013-07-15,252.50 
2013-07-16,258.30 
2013-07-17,259.85 
2013-07-18,255.00 
2013-07-19,258.80 
2013-07-22,262.40 
2013-07-23,265.60 
2013-07-24,266.10 
2013-07-25,263.15 
2013-07-26,266.35 
2013-07-29,263.65 
2013-07-30,264.65 
2013-07-31,268.05 
2013-08-01,265.10 
2013-08-02,254.40 
2013-08-05,262.00 
2013-08-06,258.60 
2013-08-07,256.50 
2013-08-08,257.05 
2013-08-09,257.05 
2013-08-12,267.00 
2013-08-13,268.10 
2013-08-14,268.10 
2013-08-15,268.10 
2013-08-16,272.35 
2013-08-19,274.50 
2013-08-20,271.15 
2013-08-21,273.55 
2013-08-22,272.10 
2013-08-23,275.20 
2013-08-26,279.25 
2013-08-27,278.10 
2013-08-28,284.25 
2013-08-29,281.55 
2013-08-30,279.00 
2013-09-02,279.00 
2013-09-03,279.00 
2013-09-04,279.00 
2013-09-05,275.00 
2013-09-06,272.50 
2013-09-09,272.10 
2013-09-10,272.00 
2013-09-11,264.00 
2013-09-12,268.05 
2013-09-13,268.05 
2013-09-16,268.05 
2013-09-17,261.20 
2013-09-18,261.35 
2013-09-23,262.20 
2013-09-24,262.60 
2013-09-25,261.35 
2013-09-26,263.80 
2013-09-27,258.40 
2013-09-30,263.05 
2013-10-08,256.70 
2013-10-09,258.50 
2013-10-10,258.50 
2013-10-11,258.50 
2013-10-14,258.50 
2013-10-15,258.50 
2013-10-16,255.50 
2013-10-17,254.00 
2013-10-18,263.20 
2013-10-21,261.85 
2013-10-22,261.90 
2013-10-23,263.80 
2013-10-24,264.30 
2013-10-25,264.15 
2013-10-28,264.95 
2013-10-29,265.85 
2013-10-30,263.25 
2013-10-31,262.80 
2013-11-01,261.75 
2013-11-04,260.80 
2013-11-05,260.80 
2013-11-06,260.80 
2013-11-07,259.15 
2013-11-08,257.50 
2013-11-11,253.75 
2013-11-12,251.00 
2013-11-13,251.55 
2013-11-14,251.55 
2013-11-15,251.55 
2013-11-18,255.05 
2013-11-19,252.60 
2013-11-20,253.25 
2013-11-21,248.70 
2013-11-22,248.30 
2013-11-25,245.65 
2013-11-26,248.95 
2013-11-27,247.15 
2013-11-28,245.55 
2013-11-29,244.75 
2013-12-02,246.15 
2013-12-03,242.05 
2013-12-04,241.35 
2013-12-05,243.75 
2013-12-06,241.60 
2013-12-09,241.05 
2013-12-10,243.75 
2013-12-11,245.45 
2013-12-12,244.00 
2013-12-13,239.80 
2013-12-16,240.50 
2013-12-17,244.45 
2013-12-18,242.50 
2013-12-19,240.35 
2013-12-20,235.80 
2013-12-23,237.65 
2013-12-24,237.00 
2013-12-25,238.45 
2013-12-26,238.30 
2013-12-27,240.05 
2013-12-30,238.20 
2013-12-31,239.50 
2014-01-02,240.40 
2014-01-03,242.00 
2014-01-06,244.35 
2014-01-07,244.00 
2014-01-08,240.10 
2014-01-09,239.05 
2014-01-10,241.05 
2014-01-13,244.00 
2014-01-14,244.50 
2014-01-15,244.50 
2014-01-16,242.85 
2014-01-17,244.25 
2014-01-20,243.40 
2014-01-21,244.60 
2014-01-22,242.85 
2014-01-23,242.20 
2014-01-24,245.70 
2014-01-27,247.60 
2014-01-28,245.90 
2014-01-29,244.80 
2014-01-30,250.90 
2014-02-07,249.35 
2014-02-10,250.00 
2014-02-11,249.00 
2014-02-12,252.00 
2014-02-13,255.25 
2014-02-14,255.25 
2014-02-17,255.25 
2014-02-18,258.35 
2014-02-19,259.10 
2014-02-20,257.50 
2014-02-21,258.65 
2014-02-24,260.05 
2014-02-25,261.25 
2014-02-26,265.45 
2014-02-27,261.35 
2014-02-28,263.30 
2014-03-03,262.25 
2014-03-04,261.10 
2014-03-05,261.10 
2014-03-06,263.00 
2014-03-07,263.75 
2014-03-10,262.95 
2014-03-11,262.95 
2014-03-12,265.00 
2014-03-13,265.00 
2014-03-14,265.00 
2014-03-17,268.00 
2014-03-18,268.70 
2014-03-19,271.05 
2014-03-20,265.20 
2014-03-21,265.50 
2014-03-24,264.05 
2014-03-25,261.75 
2014-03-26,262.05 
2014-03-27,262.90 
2014-03-28,259.40 
2014-03-31,259.50 
2014-04-01,260.15 
2014-04-02,260.15 
2014-04-03,258.95 
2014-04-04,258.95 
2014-04-08,257.00 
2014-04-09,259.80 
2014-04-10,259.80 
2014-04-11,259.80 
2014-04-14,259.80 
2014-04-15,259.80 
2014-04-16,259.95 
2014-04-17,259.75 
2014-04-18,258.25 
2014-04-21,256.05 
2014-04-22,258.45 
2014-04-23,257.20 
2014-04-24,257.00 
2014-04-25,258.70 
2014-04-28,261.70 
2014-04-29,260.25 
2014-04-30,262.45 
2014-05-05,261.05 
2014-05-06,261.05 
2014-05-07,262.00 
2014-05-08,262.00 
2014-05-09,262.00 
2014-05-12,262.00 
2014-05-13,262.00 
2014-05-14,262.00 
2014-05-15,262.00 
2014-05-16,260.20 
2014-05-19,260.55 
2014-05-20,259.40 
2014-05-21,259.75 
2014-05-22,260.00 
2014-05-23,260.05 
2014-05-26,259.65 
2014-05-27,258.80 
2014-05-28,255.95 
2014-05-29,253.00 
2014-05-30,253.65 
2014-06-03,251.40 
2014-06-04,251.90 
2014-06-05,251.80 
2014-06-06,253.80 
2014-06-09,252.65 
2014-06-10,251.80 
2014-06-11,253.05 
2014-06-12,252.60 
2014-06-13,253.05 
2014-06-16,255.00 
2014-06-17,255.15 
2014-06-18,254.65 
2014-06-19,255.80 
2014-06-20,262.75 
2014-06-23,261.55 
2014-06-24,261.80 
2014-06-25,265.55 
2014-06-26,262.50 
2014-06-27,262.50 
2014-06-30,265.00 
2014-07-01,263.50 
2014-07-02,263.50 
2014-07-03,263.50 
2014-07-04,255.05 
2014-07-07,259.90 
2014-07-08,260.05 
2014-07-09,260.05 
2014-07-10,260.05 
2014-07-11,260.05 
2014-07-14,260.05 
2014-07-15,260.05 
2014-07-16,259.40 
2014-07-17,260.30 
2014-07-18,262.35 
2014-07-21,261.15 
2014-07-22,261.00 
2014-07-23,261.10 
2014-07-24,259.55 
2014-07-25,257.75 
2014-07-28,259.60 
2014-07-29,259.75 
2014-07-30,257.40 
2014-07-31,257.50 
2014-08-01,256.00 
2014-08-04,256.00 
2014-08-05,256.00 
2014-08-06,256.00 
2014-08-07,256.00 
2014-08-08,260.00 
2014-08-11,260.00 
2014-08-12,258.00 
2014-08-13,258.05 
2014-08-14,258.05 
2014-08-15,258.05 
2014-08-18,256.95 
2014-08-19,260.55 
2014-08-20,258.70 
2014-08-21,257.30 
2014-08-22,257.30 
2014-08-25,252.10 
2014-08-26,254.00 
2014-08-27,257.35 
2014-08-28,257.75 
2014-08-29,258.00 
2014-09-01,261.45 
2014-09-02,261.45 
2014-09-03,261.45 
2014-09-04,261.45 
2014-09-05,261.45 
2014-09-09,261.45 
2014-09-10,261.45 
2014-09-11,261.45 
2014-09-12,261.45 
2014-09-15,261.45 
2014-09-16,244.80 
2014-09-17,245.60 
2014-09-18,245.60 
2014-09-19,242.55 
2014-09-22,242.25 
2014-09-23,242.25 
2014-09-24,242.25 
2014-09-25,240.40 
2014-09-26,242.50 
2014-09-29,240.70 
2014-09-30,240.25 
2014-10-08,239.00 
2014-10-09,239.00 
2014-10-10,239.00 
2014-10-13,236.95 
2014-10-14,236.95 
2014-10-15,236.95 
2014-10-16,241.30 
2014-10-17,246.45 
2014-10-20,246.15 
2014-10-21,247.00 
2014-10-22,244.85 
2014-10-23,244.65 
2014-10-24,248.55 
2014-10-27,243.15 
2014-10-28,242.90 
2014-10-29,242.90 
2014-10-30,242.90 
2014-10-31,242.90 
2014-11-03,242.90 
2014-11-04,242.90 
2014-11-05,242.90 
2014-11-06,242.90 
2014-11-07,242.90 
2014-11-10,242.90 
2014-11-11,242.90 
2014-11-12,242.90 
2014-11-13,242.90 
2014-11-14,242.90 
2014-11-17,242.90 
2014-11-18,235.00 
2014-11-19,235.80 
2014-11-20,233.60 
2014-11-21,235.90 
2014-11-24,237.50 
2014-11-25,237.50 
2014-11-26,237.45 
2014-11-27,236.50 
2014-11-28,235.25 
2014-12-01,228.55 
2014-12-02,238.70 
2014-12-03,237.50 
2014-12-04,238.40 
2014-12-05,238.05 
2014-12-08,235.80 
2014-12-09,238.70 
2014-12-10,243.15 
2014-12-11,240.55 
2014-12-12,240.55 
2014-12-15,240.05 
2014-12-16,238.75 
2014-12-17,238.50 
2014-12-18,240.10 
2014-12-19,240.80 
2014-12-22,240.55 
2014-12-23,236.70 
2014-12-24,237.15 
2014-12-25,236.25 
2014-12-26,237.25 
2014-12-29,239.45 
2014-12-30,238.65 
2014-12-31,242.20 
2015-01-05,236.20 
2015-01-06,239.15 
2015-01-07,239.15 
2015-01-08,242.50 
2015-01-09,242.00 
2015-01-12,245.55 
2015-01-13,249.30 
2015-01-14,249.30 
2015-01-15,249.30 
2015-01-16,251.90 
2015-01-19,256.00 
2015-01-20,255.95 
2015-01-21,260.05 
2015-01-22,256.55 
2015-01-23,259.35 
2015-01-26,260.00 
2015-01-27,257.20 
2015-01-28,259.65 
2015-01-29,258.00 
2015-01-30,252.45 
2015-02-02,255.85 
2015-02-03,255.85 
2015-02-04,254.00 
2015-02-05,251.05 
2015-02-06,257.00 
2015-02-09,257.00 
2015-02-10,257.00 
2015-02-11,249.20 
2015-02-12,249.20 
2015-02-13,249.20 
2015-02-16,249.20 
2015-02-17,247.85 
2015-02-25,245.10 
2015-02-26,244.60 
2015-02-27,244.60 
2015-03-02,244.60 
2015-03-03,244.60 
2015-03-04,244.60 
2015-03-05,244.60 
2015-03-06,244.60 
2015-03-09,244.60 
2015-03-10,244.60 
2015-03-11,244.60 
2015-03-12,244.60 
2015-03-13,244.60 
2015-03-16,244.60 
2015-03-17,234.85 
2015-03-18,233.35 
2015-03-19,236.25 
2015-03-20,235.00 
2015-03-23,238.35 
2015-03-24,239.75 
2015-03-25,239.45 
2015-03-26,240.65 
2015-03-27,240.80 
2015-03-30,238.70 
2015-03-31,237.00 
2015-04-01,237.10 
2015-04-02,240.00 
2015-04-03,240.00 
2015-04-07,240.00 
2015-04-08,240.00 
2015-04-09,240.00 
2015-04-10,240.00 
2015-04-13,240.00 
2015-04-14,238.50 
2015-04-15,238.50 
2015-04-16,240.00 
2015-04-17,239.55 
2015-04-20,241.40 
2015-04-21,239.70 
2015-04-22,240.50 
2015-04-23,237.90 
2015-04-24,239.05 
2015-04-27,237.45 
2015-04-28,240.45 
2015-04-29,240.70 
2015-04-30,236.25 
2015-05-04,239.65 
2015-05-05,239.65 
2015-05-06,239.65 
2015-05-07,237.90 
2015-05-08,237.90 
2015-05-11,237.90 
2015-05-12,237.90 
2015-05-13,237.90 
2015-05-14,242.05 
2015-05-15,242.05 
2015-05-18,245.40 
2015-05-19,244.00 
2015-05-20,240.75 
2015-05-21,241.60 
2015-05-22,241.30 
2015-05-25,241.00 
2015-05-26,239.00 
2015-05-27,238.05 
2015-05-28,237.40 
2015-05-29,236.30 
2015-06-01,236.05 
2015-06-02,235.50 
2015-06-03,236.35 
